 Name/ Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
Gurdaspur,4720,1695,1695,1641,1641,1641,1641,1789,1767,1767
Pathankot,1377,968,968,870,870,870,870,875,779,779
Amritsar,4002,2788,2788,2497,2497,2497,1130,1090,1141,1141
Tarn Taran,3112,1565,1565,1701,1701,1701,1682,1453,1372,1372
Kapurthala,1919,708,708,731,731,731,696,692,683,683
Jalandhar,3915,2064,2064,2040,2040,2020,2020,2085,2051,2051
SBS Nagar,2228,2228,2228,2130,2130,2120,2120,2120,2119,2119
Hoshiarpur,4499,0,0,0,0,0,0,0,0,0
Roopnagar,1880,0,0,0,0,0,0,0,0,0
SAS Nagar,1662,778,778,685,685,685,685,716,374,374
Ludhiana,5588,3407,3407,3274,3274,3274,3163,3119,3233,3233
Firozpur,2830,1324,1324,1240,1240,1220,1220,1221,1194,1194
Fazilka,2941,2169,2169,2035,2035,2035,2035,1925,2052,1200
Faridkot,1534,1534,1534,1513,1513,1513,1513,1446,1471,1471
Shri Muktsar Sahib,3435,3156,3156,3112,3112,3112,3112,3005,2902,2902
Moga,2220,1537,1537,1419,1419,1419,1410,1415,1464,1464
Bathinda,2931,0,0,0,0,0,0,116,0,0
Mansa,2598,2220,2220,2154,2154,2154,2154,1975,2247,2247
Sangrur,3361,1489,1489,1416,1416,1395,1593,1580,1364,1364
Barnala,1486,606,606,576,576,566,572,574,565,565
Patiala,3716,1752,1752,1747,1747,1712,1712,1663,2003,2003
Fatehgarh Sahib,1886,0,0,0,0,0,0,0,0,0
